threshold,smoothing_method,smoothing_alpha,consecutive_k,positive_records,future_support,predicted_positive_windows,future_precision,future_recall,events,detected_events,event_recall,median_lead_time_sec,false_alert_windows,false_alert_episodes,patient_hours,false_alert_episodes_per_patient_hour,score_name,gate_passed
0.2,ewma,0.65,2,7,91,310,0.07741935483870968,0.26373626373626374,12,3,0.25,0.0,262,16,11.574999999999998,1.3822894168466526,vt_vs_normal,False
0.25,ewma,0.65,2,7,91,276,0.08695652173913043,0.26373626373626374,12,3,0.25,0.0,228,17,11.574999999999998,1.4686825053995685,vt_vs_normal,False
0.3,ewma,0.65,2,7,91,231,0.1038961038961039,0.26373626373626374,12,2,0.16666666666666666,-35.0,187,20,11.574999999999998,1.7278617710583157,vt_vs_normal,False
0.4,ewma,0.65,2,7,91,162,0.14814814814814814,0.26373626373626374,12,2,0.16666666666666666,-45.0,122,11,11.574999999999998,0.9503239740820736,vt_vs_normal,False
0.5,ewma,0.65,2,7,91,117,0.20512820512820512,0.26373626373626374,12,1,0.08333333333333333,300.0,78,12,11.574999999999998,1.0367170626349895,vt_vs_normal,False
0.6,ewma,0.65,2,7,91,58,0.3620689655172414,0.23076923076923078,12,1,0.08333333333333333,240.0,34,11,11.574999999999998,0.9503239740820736,vt_vs_normal,False
0.7,ewma,0.65,2,7,91,4,1.0,0.04395604395604396,12,1,0.08333333333333333,-10.0,0,0,11.574999999999998,0.0,vt_vs_normal,False
0.8,ewma,0.65,2,7,91,0,0.0,0.0,12,0,0.0,,0,0,11.574999999999998,0.0,vt_vs_normal,False
0.02,raw,1.0,1,8,96,925,0.07675675675675675,0.7395833333333334,14,10,0.7142857142857143,300.0,695,97,11.574999999999998,8.380129589632832,vt_vf_vs_normal,False
0.03,raw,1.0,1,8,96,828,0.08333333333333333,0.71875,14,10,0.7142857142857143,275.0,605,79,11.574999999999998,6.825053995680347,vt_vf_vs_normal,False
0.04,raw,1.0,1,8,96,760,0.08552631578947369,0.6770833333333334,14,10,0.7142857142857143,255.0,546,73,11.574999999999998,6.3066954643628526,vt_vf_vs_normal,False
0.05,raw,1.0,1,8,96,712,0.08707865168539326,0.6458333333333334,14,9,0.6428571428571429,250.0,504,74,11.574999999999998,6.393088552915768,vt_vf_vs_normal,False
0.06,raw,1.0,1,8,96,666,0.08858858858858859,0.6145833333333334,14,8,0.5714285714285714,270.0,468,71,11.574999999999998,6.133909287257021,vt_vf_vs_normal,False
0.08,raw,1.0,1,8,96,580,0.08620689655172414,0.5208333333333334,14,8,0.5714285714285714,265.0,394,63,11.574999999999998,5.442764578833694,vt_vf_vs_normal,False
0.1,raw,1.0,1,8,96,525,0.08190476190476191,0.4479166666666667,14,8,0.5714285714285714,255.0,353,56,11.574999999999998,4.838012958963284,vt_vf_vs_normal,False
0.12,raw,1.0,1,8,96,475,0.07789473684210527,0.3854166666666667,14,8,0.5714285714285714,250.0,319,58,11.574999999999998,5.0107991360691155,vt_vf_vs_normal,False
0.15,raw,1.0,1,8,96,415,0.0819277108433735,0.3541666666666667,14,8,0.5714285714285714,245.0,279,56,11.574999999999998,4.838012958963284,vt_vf_vs_normal,False
0.2,raw,1.0,1,8,96,343,0.08746355685131195,0.3125,14,8,0.5714285714285714,175.0,226,39,11.574999999999998,3.3693304535637156,vt_vf_vs_normal,False
0.25,raw,1.0,1,8,96,296,0.09797297297297297,0.3020833333333333,14,6,0.42857142857142855,120.0,196,32,11.574999999999998,2.7645788336933053,vt_vf_vs_normal,False
0.3,raw,1.0,1,8,96,254,0.1141732283464567,0.3020833333333333,14,5,0.35714285714285715,230.0,157,38,11.574999999999998,3.2829373650108,vt_vf_vs_normal,False
0.4,raw,1.0,1,8,96,192,0.15104166666666666,0.3020833333333333,14,4,0.2857142857142857,265.0,104,35,11.574999999999998,3.0237580993520523,vt_vf_vs_normal,False
0.5,raw,1.0,1,8,96,143,0.1958041958041958,0.2916666666666667,14,3,0.21428571428571427,300.0,66,28,11.574999999999998,2.419006479481642,vt_vf_vs_normal,False
0.6,raw,1.0,1,8,96,85,0.29411764705882354,0.2604166666666667,14,3,0.21428571428571427,250.0,30,14,11.574999999999998,1.209503239740821,vt_vf_vs_normal,False
0.7,raw,1.0,1,8,96,30,0.4,0.125,14,3,0.21428571428571427,250.0,7,6,11.574999999999998,0.5183585313174948,vt_vf_vs_normal,True
0.8,raw,1.0,1,8,96,2,0.5,0.010416666666666666,14,1,0.07142857142857142,-70.0,1,1,11.574999999999998,0.08639308855291579,vt_vf_vs_normal,False
0.02,raw,1.0,2,8,96,816,0.08455882352941177,0.71875,14,10,0.7142857142857143,265.0,602,56,11.574999999999998,4.838012958963284,vt_vf_vs_normal,False
0.03,raw,1.0,2,8,96,737,0.08819538670284939,0.6770833333333334,14,9,0.6428571428571429,240.0,530,41,11.574999999999998,3.5421166306695473,vt_vf_vs_normal,False
0.04,raw,1.0,2,8,96,678,0.08849557522123894,0.625,14,8,0.5714285714285714,270.0,477,41,11.574999999999998,3.5421166306695473,vt_vf_vs_normal,False
0.05,raw,1.0,2,8,96,627,0.0861244019138756,0.5625,14,8,0.5714285714285714,270.0,434,40,11.574999999999998,3.4557235421166315,vt_vf_vs_normal,False
0.06,raw,1.0,2,8,96,584,0.08732876712328767,0.53125,14,8,0.5714285714285714,265.0,401,36,11.574999999999998,3.110151187904968,vt_vf_vs_normal,False
0.08,raw,1.0,2,8,96,504,0.08333333333333333,0.4375,14,8,0.5714285714285714,245.0,335,33,11.574999999999998,2.850971922246221,vt_vf_vs_normal,False
0.1,raw,1.0,2,8,96,458,0.08078602620087336,0.3854166666666667,14,8,0.5714285714285714,245.0,301,30,11.574999999999998,2.5917926565874736,vt_vf_vs_normal,False
0.12,raw,1.0,2,8,96,403,0.07692307692307693,0.3229166666666667,14,8,0.5714285714285714,240.0,265,26,11.574999999999998,2.2462203023758103,vt_vf_vs_normal,False
0.15,raw,1.0,2,8,96,340,0.08823529411764706,0.3125,14,8,0.5714285714285714,160.0,226,25,11.574999999999998,2.1598272138228944,vt_vf_vs_normal,False
0.2,raw,1.0,2,8,96,291,0.09965635738831616,0.3020833333333333,14,5,0.35714285714285715,280.0,189,20,11.574999999999998,1.7278617710583157,vt_vf_vs_normal,False
0.25,raw,1.0,2,8,96,257,0.11284046692607004,0.3020833333333333,14,5,0.35714285714285715,220.0,166,21,11.574999999999998,1.8142548596112316,vt_vf_vs_normal,False
0.3,raw,1.0,2,8,96,209,0.13875598086124402,0.3020833333333333,14,5,0.35714285714285715,220.0,121,23,11.574999999999998,1.987041036717063,vt_vf_vs_normal,False
0.4,raw,1.0,2,8,96,151,0.19205298013245034,0.3020833333333333,14,4,0.2857142857142857,260.0,71,16,11.574999999999998,1.3822894168466526,vt_vf_vs_normal,False
0.5,raw,1.0,2,8,96,108,0.25,0.28125,14,3,0.21428571428571427,290.0,39,16,11.574999999999998,1.3822894168466526,vt_vf_vs_normal,False
0.6,raw,1.0,2,8,96,55,0.38181818181818183,0.21875,14,3,0.21428571428571427,240.0,17,5,11.574999999999998,0.43196544276457893,vt_vf_vs_normal,True
0.7,raw,1.0,2,8,96,8,0.625,0.052083333333333336,14,2,0.14285714285714285,145.0,1,1,11.574999999999998,0.08639308855291579,vt_vf_vs_normal,False
0.8,raw,1.0,2,8,96,0,0.0,0.0,14,0,0.0,,0,0,11.574999999999998,0.0,vt_vf_vs_normal,False
0.02,ewma,0.65,1,8,96,933,0.07609860664523044,0.7395833333333334,14,10,0.7142857142857143,275.0,701,63,11.574999999999998,5.442764578833694,vt_vf_vs_normal,False
0.03,ewma,0.65,1,8,96,829,0.08323281061519903,0.71875,14,10,0.7142857142857143,255.0,609,47,11.574999999999998,4.060475161987042,vt_vf_vs_normal,False
0.04,ewma,0.65,1,8,96,776,0.08762886597938144,0.7083333333333334,14,9,0.6428571428571429,250.0,560,49,11.574999999999998,4.2332613390928735,vt_vf_vs_normal,False
0.05,ewma,0.65,1,8,96,724,0.0925414364640884,0.6979166666666666,14,8,0.5714285714285714,275.0,512,49,11.574999999999998,4.2332613390928735,vt_vf_vs_normal,False
0.06,ewma,0.65,1,8,96,672,0.08482142857142858,0.59375,14,8,0.5714285714285714,270.0,472,47,11.574999999999998,4.060475161987042,vt_vf_vs_normal,False
0.08,ewma,0.65,1,8,96,588,0.08503401360544217,0.5208333333333334,14,8,0.5714285714285714,265.0,402,42,11.574999999999998,3.628509719222463,vt_vf_vs_normal,False
0.1,ewma,0.65,1,8,96,535,0.08037383177570094,0.4479166666666667,14,8,0.5714285714285714,250.0,362,40,11.574999999999998,3.4557235421166315,vt_vf_vs_normal,False
0.12,ewma,0.65,1,8,96,476,0.07563025210084033,0.375,14,8,0.5714285714285714,245.0,318,41,11.574999999999998,3.5421166306695473,vt_vf_vs_normal,False
0.15,ewma,0.65,1,8,96,415,0.07951807228915662,0.34375,14,8,0.5714285714285714,180.0,276,35,11.574999999999998,3.0237580993520523,vt_vf_vs_normal,False
0.2,ewma,0.65,1,8,96,336,0.08630952380952381,0.3020833333333333,14,6,0.42857142857142855,155.0,226,21,11.574999999999998,1.8142548596112316,vt_vf_vs_normal,False
0.25,ewma,0.65,1,8,96,302,0.09602649006622517,0.3020833333333333,14,5,0.35714285714285715,230.0,199,22,11.574999999999998,1.9006479481641472,vt_vf_vs_normal,False
0.3,ewma,0.65,1,8,96,260,0.11153846153846154,0.3020833333333333,14,5,0.35714285714285715,230.0,162,23,11.574999999999998,1.987041036717063,vt_vf_vs_normal,False
0.4,ewma,0.65,1,8,96,188,0.15425531914893617,0.3020833333333333,14,4,0.2857142857142857,260.0,102,20,11.574999999999998,1.7278617710583157,vt_vf_vs_normal,False
0.5,ewma,0.65,1,8,96,138,0.21014492753623187,0.3020833333333333,14,3,0.21428571428571427,300.0,62,18,11.574999999999998,1.555075593952484,vt_vf_vs_normal,False
0.6,ewma,0.65,1,8,96,81,0.32098765432098764,0.2708333333333333,14,3,0.21428571428571427,250.0,25,7,11.574999999999998,0.6047516198704105,vt_vf_vs_normal,True
0.7,ewma,0.65,1,8,96,16,0.5625,0.09375,14,2,0.14285714285714285,145.0,4,4,11.574999999999998,0.34557235421166316,vt_vf_vs_normal,False
0.8,ewma,0.65,1,8,96,1,1.0,0.010416666666666666,14,1,0.07142857142857142,-70.0,0,0,11.574999999999998,0.0,vt_vf_vs_normal,False
0.02,ewma,0.65,2,8,96,864,0.0798611111111111,0.71875,14,10,0.7142857142857143,265.0,642,37,11.574999999999998,3.196544276457884,vt_vf_vs_normal,False
0.03,ewma,0.65,2,8,96,778,0.08740359897172237,0.7083333333333334,14,9,0.6428571428571429,240.0,566,33,11.574999999999998,2.850971922246221,vt_vf_vs_normal,False
0.04,ewma,0.65,2,8,96,724,0.09116022099447514,0.6875,14,8,0.5714285714285714,270.0,515,33,11.574999999999998,2.850971922246221,vt_vf_vs_normal,False
0.05,ewma,0.65,2,8,96,674,0.09495548961424333,0.6666666666666666,14,8,0.5714285714285714,270.0,467,32,11.574999999999998,2.7645788336933053,vt_vf_vs_normal,False
0.06,ewma,0.65,2,8,96,620,0.08225806451612903,0.53125,14,8,0.5714285714285714,265.0,429,30,11.574999999999998,2.5917926565874736,vt_vf_vs_normal,False
0.08,ewma,0.65,2,8,96,538,0.08364312267657993,0.46875,14,8,0.5714285714285714,250.0,364,24,11.574999999999998,2.073434125269979,vt_vf_vs_normal,False
0.1,ewma,0.65,2,8,96,491,0.0835030549898167,0.4270833333333333,14,8,0.5714285714285714,240.0,326,26,11.574999999999998,2.2462203023758103,vt_vf_vs_normal,False
